tipo,username,nombre_completo,url_perfil,foto,facebook_id,interaccion,texto_comentario
AMIGO,ximenamontserrat.lopezsoto,,https://www.facebook.com/ximenamontserrat.lopezsoto/,,,,
AMIGO,emiliano.cordoba.969952,,https://www.facebook.com/emiliano.cordoba.969952/,,,,
AMIGO,martinfernando.ramirez.9,,https://www.facebook.com/martinfernando.ramirez.9/,,,,
AMIGO,fany.casas.796,,https://www.facebook.com/fany.casas.796/,,,,
AMIGO,Morozo64,,https://www.facebook.com/Morozo64/,,,,
AMIGO,david.angeles.395017,,https://www.facebook.com/david.angeles.395017/,,,,
AMIGO,trash.lilblessed,,https://www.facebook.com/trash.lilblessed/,,,,
AMIGO,dulcemaria.arenasrios,,https://www.facebook.com/dulcemaria.arenasrios/,,,,
AMIGO,mauricio.espinosa.771,,https://www.facebook.com/mauricio.espinosa.771/,,,,
AMIGO,dayana.rocha.232713,,https://www.facebook.com/dayana.rocha.232713/,,,,
AMIGO,emm.21.ean,,https://www.facebook.com/emm.21.ean/,,,,
AMIGO,alberto.crz.527683,,https://www.facebook.com/alberto.crz.527683/,,,,
AMIGO,geras.mendez.3,,https://www.facebook.com/geras.mendez.3/,,,,
AMIGO,Dark.alfarosalazar,,https://www.facebook.com/Dark.alfarosalazar/,,,,
AMIGO,aldair.manrique.127,,https://www.facebook.com/aldair.manrique.127/,,,,
AMIGO,arath.fuentes.18,,https://www.facebook.com/arath.fuentes.18/,,,,
AMIGO,ximena.paz.5817,,https://www.facebook.com/ximena.paz.5817/,,,,
AMIGO,alexis.estradaperez.52,,https://www.facebook.com/alexis.estradaperez.52/,,,,
AMIGO,nabvzzz,,https://www.facebook.com/nabvzzz/,,,,
AMIGO,axel.beiza,,https://www.facebook.com/axel.beiza/,,,,
AMIGO,cdavcesar,,https://www.facebook.com/cdavcesar/,,,,
AMIGO,chucholalo2000,,https://www.facebook.com/chucholalo2000/,,,,
AMIGO,irvin.gonzalez.3799,,https://www.facebook.com/irvin.gonzalez.3799/,,,,
AMIGO,MERI.XD,,https://www.facebook.com/MERI.XD/,,,,
AMIGO,jafet.rosales.526,,https://www.facebook.com/jafet.rosales.526/,,,,
AMIGO,dana.mendez.628304,,https://www.facebook.com/dana.mendez.628304/,,,,
AMIGO,jenifer.gr.2025,,https://www.facebook.com/jenifer.gr.2025/,,,,
AMIGO,zurisaday.morales.912319,,https://www.facebook.com/zurisaday.morales.912319/,,,,
AMIGO,HecResendiz30,,https://www.facebook.com/HecResendiz30/,,,,
AMIGO,axel.manzanarez.3,,https://www.facebook.com/axel.manzanarez.3/,,,,
AMIGO,alexis.galvez.397611,,https://www.facebook.com/alexis.galvez.397611/,,,,
AMIGO,alex.ramirezgastaldi,,https://www.facebook.com/alex.ramirezgastaldi/,,,,
AMIGO,CharlyGl117,,https://www.facebook.com/CharlyGl117/,,,,
AMIGO,antonio.hernandez.533355,,https://www.facebook.com/antonio.hernandez.533355/,,,,
AMIGO,andrik.yael.lopez.sosa,,https://www.facebook.com/andrik.yael.lopez.sosa/,,,,
AMIGO,MeDicenRobiin,,https://www.facebook.com/MeDicenRobiin/,,,,
AMIGO,BYNAVA343,,https://www.facebook.com/BYNAVA343/,,,,
AMIGO,arturo.chavezmartinez.12,,https://www.facebook.com/arturo.chavezmartinez.12/,,,,
AMIGO,emanuel.ortega.201132,,https://www.facebook.com/emanuel.ortega.201132/,,,,
AMIGO,rolando.rpa,,https://www.facebook.com/rolando.rpa/,,,,
AMIGO,dominic.almanza.2025,,https://www.facebook.com/dominic.almanza.2025/,,,,
AMIGO,fridanatalia.riveragarnica,,https://www.facebook.com/fridanatalia.riveragarnica/,,,,
AMIGO,erika.ramirez.145588,,https://www.facebook.com/erika.ramirez.145588/,,,,
AMIGO,quiique.viines,,https://www.facebook.com/quiique.viines/,,,,
AMIGO,dani.pascual.496599,,https://www.facebook.com/dani.pascual.496599/,,,,
AMIGO,karlpxp,,https://www.facebook.com/karlpxp/,,,,
AMIGO,abner.parker.2025,,https://www.facebook.com/abner.parker.2025/,,,,
AMIGO,metzinaomi.P.ortega,,https://www.facebook.com/metzinaomi.P.ortega/,,,,
AMIGO,nao.7421,,https://www.facebook.com/nao.7421/,,,,
AMIGO,angel.corts.2025,,https://www.facebook.com/angel.corts.2025/,,,,
AMIGO,edugamer.proo,,https://www.facebook.com/edugamer.proo/,,,,
AMIGO,emeersonn,,https://www.facebook.com/emeersonn/,,,,
AMIGO,juan.rolando.359,,https://www.facebook.com/juan.rolando.359/,,,,
AMIGO,malimaeg,,https://www.facebook.com/malimaeg/,,,,
AMIGO,luisenrique.cruzramirez.3,,https://www.facebook.com/luisenrique.cruzramirez.3/,,,,
AMIGO,rafael.tlakatekolotl,,https://www.facebook.com/rafael.tlakatekolotl/,,,,
AMIGO,rafael.lozano.14,,https://www.facebook.com/rafael.lozano.14/,,,,
AMIGO,salma.duranp,,https://www.facebook.com/salma.duranp/,,,,
AMIGO,carlos.alberto.599170,,https://www.facebook.com/carlos.alberto.599170/,,,,
AMIGO,AleexLM1,,https://www.facebook.com/AleexLM1/,,,,
AMIGO,isaac.mercado.837546,,https://www.facebook.com/isaac.mercado.837546/,,,,
AMIGO,mariadelaluz.rodriguezjimenez.98,,https://www.facebook.com/mariadelaluz.rodriguezjimenez.98/,,,,
AMIGO,angelyahir.robledo,,https://www.facebook.com/angelyahir.robledo/,,,,
AMIGO,jose.luis.guerrero.908577,,https://www.facebook.com/jose.luis.guerrero.908577/,,,,
AMIGO,angel.garcia.39841,,https://www.facebook.com/angel.garcia.39841/,,,,
AMIGO,yahr.rodriguez.4182,,https://www.facebook.com/yahr.rodriguez.4182/,,,,
AMIGO,diego.azul.180625,,https://www.facebook.com/diego.azul.180625/,,,,
AMIGO,abraham.mondragon.108,,https://www.facebook.com/abraham.mondragon.108/,,,,
AMIGO,dany.sebas.56,,https://www.facebook.com/dany.sebas.56/,,,,
AMIGO,ximena.ha.2025,,https://www.facebook.com/ximena.ha.2025/,,,,
AMIGO,ibaes99,,https://www.facebook.com/ibaes99/,,,,
AMIGO,hector.bautista.7921975,,https://www.facebook.com/hector.bautista.7921975/,,,,
AMIGO,andrea.michel03,,https://www.facebook.com/andrea.michel03/,,,,
AMIGO,jesssica.as,,https://www.facebook.com/jesssica.as/,,,,
AMIGO,erick.alejandro.303870,,https://www.facebook.com/erick.alejandro.303870/,,,,
AMIGO,brandon.miranda.507794,,https://www.facebook.com/brandon.miranda.507794/,,,,
AMIGO,isaac.espinos,,https://www.facebook.com/isaac.espinos/,,,,
AMIGO,noe.martinez.626668,,https://www.facebook.com/noe.martinez.626668/,,,,
AMIGO,emilio.silva.52831,,https://www.facebook.com/emilio.silva.52831/,,,,
AMIGO,Emmanuel.Guadarrama.13,,https://www.facebook.com/Emmanuel.Guadarrama.13/,,,,
AMIGO,miltonalejandro.hernandezlopez,,https://www.facebook.com/miltonalejandro.hernandezlopez/,,,,
AMIGO,roberto.nepo.56,,https://www.facebook.com/roberto.nepo.56/,,,,
AMIGO,JovasEAC,,https://www.facebook.com/JovasEAC/,,,,
AMIGO,aranzasu.urbano.77,,https://www.facebook.com/aranzasu.urbano.77/,,,,
AMIGO,andres.rojo.sanchez.2025,,https://www.facebook.com/andres.rojo.sanchez.2025/,,,,
AMIGO,marco.genesta.2025,,https://www.facebook.com/marco.genesta.2025/,,,,
AMIGO,alan.flores.5602728,,https://www.facebook.com/alan.flores.5602728/,,,,
AMIGO,alexisgomez34,,https://www.facebook.com/alexisgomez34/,,,,
AMIGO,danielle.guerrero.735,,https://www.facebook.com/danielle.guerrero.735/,,,,
AMIGO,Uriel.Perez.Gan,,https://www.facebook.com/Uriel.Perez.Gan/,,,,
AMIGO,luisdaneri.arana,,https://www.facebook.com/luisdaneri.arana/,,,,
AMIGO,yoshua.hernandez.1426,,https://www.facebook.com/yoshua.hernandez.1426/,,,,
AMIGO,luis.cabrera.843585,,https://www.facebook.com/luis.cabrera.843585/,,,,
AMIGO,regina.anel.16,,https://www.facebook.com/regina.anel.16/,,,,
AMIGO,luis.monroy.7923030,,https://www.facebook.com/luis.monroy.7923030/,,,,
AMIGO,ximena.pacheco.96930013,,https://www.facebook.com/ximena.pacheco.96930013/,,,,
AMIGO,megan.molinero.2025,,https://www.facebook.com/megan.molinero.2025/,,,,
AMIGO,irving.hernandez.1460,,https://www.facebook.com/irving.hernandez.1460/,,,,
AMIGO,nayelivillalpando061197,,https://www.facebook.com/nayelivillalpando061197/,,,,
AMIGO,diego.bernalandrade,,https://www.facebook.com/diego.bernalandrade/,,,,
AMIGO,montse.luna01,,https://www.facebook.com/montse.luna01/,,,,
AMIGO,alexandra.garciabarrera,,https://www.facebook.com/alexandra.garciabarrera/,,,,
AMIGO,juan.qarloss,,https://www.facebook.com/juan.qarloss/,,,,
AMIGO,estefania.gh.832098,,https://www.facebook.com/estefania.gh.832098/,,,,
AMIGO,mariotl.abrahamcp.5,,https://www.facebook.com/mariotl.abrahamcp.5/,,,,
AMIGO,alecis.meza.9,,https://www.facebook.com/alecis.meza.9/,,,,
AMIGO,erick.lara.90038882,,https://www.facebook.com/erick.lara.90038882/,,,,
AMIGO,ian.segura.972025,,https://www.facebook.com/ian.segura.972025/,,,,
AMIGO,fatima.fs.79086,,https://www.facebook.com/fatima.fs.79086/,,,,
AMIGO,VictorColinSxd,,https://www.facebook.com/VictorColinSxd/,,,,
AMIGO,cordobaarantxa,,https://www.facebook.com/cordobaarantxa/,,,,
AMIGO,angel.hr.805634,,https://www.facebook.com/angel.hr.805634/,,,,
AMIGO,david.de.mendoza.763920,,https://www.facebook.com/david.de.mendoza.763920/,,,,
AMIGO,johan.ceron.902500,,https://www.facebook.com/johan.ceron.902500/,,,,
AMIGO,saul.colinruiz,,https://www.facebook.com/saul.colinruiz/,,,,
AMIGO,lzaldivarherrera,,https://www.facebook.com/lzaldivarherrera/,,,,
AMIGO,nadia.castillo.7ga,,https://www.facebook.com/nadia.castillo.7ga/,,,,
AMIGO,fernando.pdp.1,,https://www.facebook.com/fernando.pdp.1/,,,,
AMIGO,UrielFxnty69,,https://www.facebook.com/UrielFxnty69/,,,,
AMIGO,ivan.rodsan.2025,,https://www.facebook.com/ivan.rodsan.2025/,,,,
AMIGO,juan.rodrigo.cano.2025,,https://www.facebook.com/juan.rodrigo.cano.2025/,,,,
AMIGO,faustino.delavega.3,,https://www.facebook.com/faustino.delavega.3/,,,,
AMIGO,emanuel.kiragarcia,,https://www.facebook.com/emanuel.kiragarcia/,,,,
AMIGO,jesus.eduardo.550206,,https://www.facebook.com/jesus.eduardo.550206/,,,,
AMIGO,zaid.rehbein,,https://www.facebook.com/zaid.rehbein/,,,,
AMIGO,jose.eduardo.perez.portilla,,https://www.facebook.com/jose.eduardo.perez.portilla/,,,,
AMIGO,abraham.ordaz.633001,,https://www.facebook.com/abraham.ordaz.633001/,,,,
AMIGO,valeria.rojaszacarias,,https://www.facebook.com/valeria.rojaszacarias/,,,,
AMIGO,ale.59457,,https://www.facebook.com/ale.59457/,,,,
AMIGO,leonel.murrieta.547,,https://www.facebook.com/leonel.murrieta.547/,,,,
AMIGO,crc.michell,,https://www.facebook.com/crc.michell/,,,,
AMIGO,garomon12,,https://www.facebook.com/garomon12/,,,,
AMIGO,tonatiuh.arellanoavila,,https://www.facebook.com/tonatiuh.arellanoavila/,,,,
AMIGO,joancecilia,,https://www.facebook.com/joancecilia/,,,,
AMIGO,bebyx.mons,,https://www.facebook.com/bebyx.mons/,,,,
AMIGO,irving.santospena.71,,https://www.facebook.com/irving.santospena.71/,,,,
AMIGO,DiegoAPC.29,,https://www.facebook.com/DiegoAPC.29/,,,,
AMIGO,cesar.og.169,,https://www.facebook.com/cesar.og.169/,,,,
AMIGO,NAOMI.AAMM,,https://www.facebook.com/NAOMI.AAMM/,,,,
AMIGO,daniel.dp.906,,https://www.facebook.com/daniel.dp.906/,,,,
AMIGO,eduardo.rios.181329,,https://www.facebook.com/eduardo.rios.181329/,,,,
AMIGO,hwang.inyoup.127,,https://www.facebook.com/hwang.inyoup.127/,,,,
AMIGO,apolo.rios.378,,https://www.facebook.com/apolo.rios.378/,,,,
AMIGO,azaelantonio.blancasoriz,,https://www.facebook.com/azaelantonio.blancasoriz/,,,,
AMIGO,johana.romero.520357,,https://www.facebook.com/johana.romero.520357/photos/,,,,
AMIGO,johana.romero.520357,,https://www.facebook.com/johana.romero.520357/photos_by/,,,,
AMIGO,johana.romero.520357,,https://www.facebook.com/johana.romero.520357/photos_albums/,,,,
AMIGO,johana.romero.520357,,https://www.facebook.com/johana.romero.520357/map/,,,,
AMIGO,johana.romero.520357,,https://www.facebook.com/johana.romero.520357/places_recent/,,,,
AMIGO,johana.romero.520357,,https://www.facebook.com/johana.romero.520357/reviews_given/,,,,
SEGUIDOR,l.php,,https://l.facebook.com/l.php/,,,,
SEGUIDOR,johana.romero.520357,,https://www.facebook.com/johana.romero.520357/about/,,,,
SEGUIDOR,Victorelprieto5,,https://www.facebook.com/Victorelprieto5/,,,,
SEGUIDOR,unknown,,https://www.facebook.com/profile.php/,,,,
SEGUIDOR,alexander.morales.366981,,https://www.facebook.com/alexander.morales.366981/,,,,
SEGUIDOR,alejandro.garcia.677261,,https://www.facebook.com/alejandro.garcia.677261/,,,,
SEGUIDOR,jorge.abraham.hdz,,https://www.facebook.com/jorge.abraham.hdz/,,,,
SEGUIDOR,carlos.garcia.543935,,https://www.facebook.com/carlos.garcia.543935/,,,,
SEGUIDOR,aldo.hetfield.399,,https://www.facebook.com/aldo.hetfield.399/,,,,
SEGUIDOR,damon.harlow.829702,,https://www.facebook.com/damon.harlow.829702/,,,,
SEGUIDOR,julio3cgarcia,,https://www.facebook.com/julio3cgarcia/,,,,
SEGUIDOR,PeachyPelon04,,https://www.facebook.com/PeachyPelon04/,,,,
SEGUIDOR,ricardo.r.torres.98,,https://www.facebook.com/ricardo.r.torres.98/,,,,
SEGUIDOR,erickisrael.padillagomez,,https://www.facebook.com/erickisrael.padillagomez/,,,,
SEGUIDOR,yosgart.gonzalez.5076,,https://www.facebook.com/yosgart.gonzalez.5076/,,,,
SEGUIDOR,alberto.moran.105824,,https://www.facebook.com/alberto.moran.105824/,,,,
SEGUIDOR,isaac.mi.39,,https://www.facebook.com/isaac.mi.39/,,,,
SEGUIDOR,alesoria27,,https://www.facebook.com/alesoria27/,,,,
